Unit,Status,Move_out,Ready_Date,DV,Move_in,DTBR,N/V/M,Insp,Insp_status,Paint,Paint_status,MR,MR_Status,HK,HK_Status,CC,CC_status,Assign,W_D,QC,P,B,U,Notes,Note_Text,Has_Note_Context,Note_Category,Has_Assignment,Is_MoveIn_Present,Is_Ready_Declared,Is_Vacant,Is_SMI,Is_On_Notice,Is_Allowed_Phase,Is_QC_Done,Aging_Business_Days,Aging,Task_State,Task_Completion_Ratio,Table_Current_Task,Table_Next_Task,Is_Task_Stalled,Status_Norm,Is_Unit_Ready,Is_Unit_Ready_For_Moving,In_Turn_Execution,Move_In_Happened,Operational_State,Prevention_Risk_Flag,Attention_Badge,Days_To_MoveIn,Inspection_SLA_Breach,SLA_Breach,SLA_MoveIn_Breach,Plan_Breach,snapshot_date
Unit 5-18-0116,Vacant not ready,2025-04-01 00:00:00,2026-02-28 00:00:00,320.0,,,VACANT,2025-04-02 00:00:00,Done,2025-04-03 00:00:00,Done,2025-04-04 00:00:00,Done,2025-04-09 00:00:00,Done,2025-04-10 00:00:00,Done,Total,yes,No,5,18,0116,[ISSUE:Wether | weather storm  freezes],[ISSUE:Wether | weather storm  freezes],True,ISSUE,False,False,True,True,False,False,True,False,229.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant not ready,False,False,True,False,Pending Start,True,🟡 Needs Attention,,False,True,False,False,2026-02-15
Unit 5-12-0307,Vacant ready,2025-04-01 00:00:00,2025-03-28 00:00:00,320.0,,,VACANT,2025-04-02 00:00:00,Done,2025-04-03 00:00:00,Done,2025-04-04 00:00:00,Done,2025-04-09 00:00:00,Done,2025-04-10 00:00:00,Done,Total,yes,No,5,12,0307,,,False,,False,False,True,True,False,False,True,False,229.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 5-18-0238,Vacant ready,2025-06-09 00:00:00,2025-06-18 00:00:00,251.0,,,VACANT,2025-06-10 00:00:00,Done,2025-06-11 00:00:00,Done,2025-06-12 00:00:00,Done,2025-06-17 00:00:00,Done,2025-06-18 00:00:00,Done,Total,yes,No,5,18,0238,,,False,,False,False,True,True,False,False,True,False,180.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 8-01-3001,Vacant ready,2025-07-08 00:00:00,2025-07-22 00:00:00,222.0,,,VACANT,2025-07-09 00:00:00,Done,2025-07-10 00:00:00,Done,2025-07-11 00:00:00,Done,2025-07-16 00:00:00,Done,2025-07-17 00:00:00,Done,Michael ,yes,No,8,01,3001,,,False,,True,False,True,True,False,False,True,False,159.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 5-18-0422,Vacant ready,2025-07-31 00:00:00,2025-11-24 00:00:00,199.0,,,VACANT,2025-08-01 00:00:00,Done,2025-08-04 00:00:00,Done,2025-08-05 00:00:00,Done,2025-08-08 00:00:00,Done,2025-08-11 00:00:00,Done,Total,yes,No,5,18,0422,,,False,,False,False,True,True,False,False,True,False,142.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 8-01-2001,Vacant ready,2025-09-14 00:00:00,2025-09-25 00:00:00,154.0,,,VACANT,2025-09-15 00:00:00,Done,2025-09-16 00:00:00,Done,2025-09-17 00:00:00,Done,2025-09-22 00:00:00,Done,2025-09-23 00:00:00,Done,Michael ,yes,No,8,01,2001,,,False,,True,False,True,True,False,False,True,False,110.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 5-15-0305,Vacant ready,2025-10-09 00:00:00,2025-12-11 00:00:00,129.0,,,VACANT,2025-10-10 00:00:00,Done,2025-10-13 00:00:00,Done,2025-10-14 00:00:00,Done,2025-10-17 00:00:00,Done,2025-10-20 00:00:00,Done,Total,yes,No,5,15,0305,,,False,,False,False,True,True,False,False,True,False,92.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 5-18-0222,Vacant ready,2025-10-16 00:00:00,2025-10-24 00:00:00,122.0,,,VACANT,2025-10-17 00:00:00,Done,2025-10-20 00:00:00,Done,2025-10-21 00:00:00,Done,2025-10-24 00:00:00,Done,2025-10-27 00:00:00,Done,Total,yes,No,5,18,0222,,,False,,False,False,True,True,False,False,True,False,87.0,120+,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 7-09-0107,Vacant ready,2025-10-31 00:00:00,2025-11-16 00:00:00,107.0,,,VACANT,2025-11-03 00:00:00,Done,2025-11-04 00:00:00,Done,2025-11-05 00:00:00,Done,2025-11-10 00:00:00,Done,2025-11-11 00:00:00,Done,Brad,yes,No,7,09,0107,,,False,,True,False,True,True,False,False,True,False,76.0,61–120,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,Apartment Ready,False,🟢 Apartment Ready,,False,False,False,False,2026-02-15
Unit 7-02-0202,Vacant ready,2025-11-10 00:00:00,2025-12-10 00:00:00,97.0,2026-02-24 00:00:00,-9.0,SMI,2025-11-11 00:00:00,Done,2025-11-12 00:00:00,Done,2025-11-13 00:00:00,Done,2025-11-18 00:00:00,Done,2025-11-19 00:00:00,Done,Brad,yes,No,7,02,0202,,,False,,True,True,True,False,True,False,True,False,70.0,61–120,All Tasks Complete,100.0,Inspection,Paint,False,vacant ready,True,False,False,False,QC Hold,False,📅 Scheduled to Move In,9.0,False,False,False,False,2026-02-15
